,deleted_duplicate_smiles_0
7296,C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2
2821,C1=CC2=C(C=C1)C1=C(C=C2)C2=C(C=CC=C2)C=C1
4613,C1=CC2=CC3=CC=C4C=CC=C5C=CC(=C2C=C1)C3=C45
7560,CC1=C2C=CC=CC2=CC=C1
6064,CC\C=C/CCCCO
5306,C1=CC2=C(C=C1)C=C1C(C=CC3=C1C=CC=C3)=C2
7610,C1=CC2=CC=CC=C2C=C1
7358,C1C2=C(C=CC=C2)C2=C1C=CC=C2
3137,N#CC1=CC2=C(C=CC=C2)C2=C1C=CC=C2
6849,CCCCCCCCCCCC(=O)O[Sn](CCCC)(CCCC)OC(=O)CCCCCCCCCCC
7625,CC1=CC2=CC=CC=C2C=C1
2789,C1=CC=C2C=C3C4=CC=CC=C4C4=CC=CC=C4C3=CC2=C1
5358,BrC1=CC2=C(C=CC=C2)C2=C1C=CC=C2
4976,C1=CC2=CC=C3C=C4C(C=CC5=CC=CC=C45)=CC3=C2C=C1
4212,C=CC(=O)OCCOCCOC(=O)C=C
4474,OCCOCCOCCOCCOCCO
