,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.7634,0.7365,0.7377,0.7673,0.761
GBT_AUC,0.774,0.7812,0.769,0.759,0.7969
RF_AUC,0.7639,0.7861,0.7691,0.7758,0.7863
LR_AUC,0.7591,0.7452,0.7443,0.7534,0.7551
KNN_AUC,0.7353,0.7533,0.716,0.7324,0.7427
NB_AUC,0.5843,0.6149,0.5998,0.59,0.6031
MLP_Recall,0.4254,0.4438,0.4673,0.5033,0.4724
GBT_Recall,0.4313,0.4614,0.4085,0.4379,0.461
RF_Recall,0.3724,0.4195,0.3662,0.3971,0.4434
LR_Recall,0.5739,0.4967,0.479,0.5206,0.4849
KNN_Recall,0.5614,0.603,0.5735,0.5919,0.6206
NB_Recall,0.935,0.3022,0.5687,0.7048,0.7162
MLP_F1,0.2934,0.2995,0.2946,0.3126,0.2857
GBT_F1,0.3495,0.3631,0.4153,0.4252,0.3623
RF_F1,0.4219,0.4371,0.375,0.4067,0.4263
LR_F1,0.1084,0.2738,0.2679,0.2798,0.2082
KNN_F1,0.1338,0.1186,0.1164,0.1296,0.1118
NB_F1,0.0494,0.1276,0.0581,0.0535,0.0554
