,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.4162,0.0018,0.5,0.0,,,,0.0,0.9963,0,811,0,3
0_1,0.797,0.6691,0.8333,0.6667,1.0,,0.8,0.816,0.9988,2,811,0,1
0_2,0.7844,0.0559,0.5,0.0,,,,0.0,0.9963,0,811,0,3
0_3,0.6723,0.0063,0.4982,0.0,0.0,,,-0.003,0.9938,0,808,3,2
0_4,0.9793,0.5209,0.7494,0.5,0.5,,0.5,0.4988,0.9975,1,810,1,1
0_5,0.607,0.3368,0.6667,0.3333,1.0,,0.5,0.5766,0.9975,1,810,0,2
0_6,0.9737,0.68,0.6667,0.3333,1.0,,0.5,0.5766,0.9975,1,810,0,2
0_7,0.7471,0.3401,0.6667,0.3333,1.0,,0.5,0.5766,0.9975,1,810,0,2
0_8,0.9372,0.3692,0.6667,0.3333,1.0,,0.5,0.5766,0.9975,1,810,0,2
0_9,0.9453,0.3661,0.666,0.3333,0.5,,0.4,0.4065,0.9963,1,809,1,2
0_Mean,0.7859,0.3346,0.6414,0.2833,0.75,,0.5286,0.4025,0.9969,0.8,810.0,0.5,2.0
0_SD,0.1839,0.2504,0.1116,0.2229,0.378,,0.1254,0.2963,0.0013,0.6324555320336759,0.9428090415820634,0.97182531580755,0.6666666666666666
Mean,0.786,0.3346,0.6414,0.2833,0.75,,0.5286,0.4025,0.9969,0.8,810.0,0.5,2.0
SD,0.1838,0.2504,0.1116,0.2229,0.378,,0.1254,0.2963,0.0013,0.6325,0.9428,0.9718,0.6667
